commonname,lengthM,weight,age,sex,date,country,habitat,conservation
West African Dwarf Crocodile,1.48,21.9,Adult,Female,10-12-2021,Côte d'Ivoire,Small Streams,Vulnerable
West African Slender-snouted Crocodile,2.96,182.7,Adult,Unknown,14-05-2010,Liberia,Swamps,Critically Endangered
Freshwater Crocodile (Johnstone's),1.05,24.0,Juvenile,Female,30-04-2014,Australia,Freshwater Rivers,Least Concern
West African Crocodile,2.72,150.3,Subadult,Female,27-01-2017,Senegal,Oases,Least Concern
Mugger Crocodile (Marsh Crocodile),3.25,195.6,Adult,Unknown,14-09-2008,Pakistan,Rivers,Vulnerable
Nile Crocodile,3.57,387.4,Subadult,Female,27-01-2022,South Africa,Marshes,Least Concern
Siamese Crocodile,0.29,33.2,Hatchling,Unknown,02-06-2008,Thailand,Slow Rivers,Critically Endangered
Morelet's Crocodile,2.33,74.0,Adult,Unknown,10-02-2021,Mexico,Swamps,Least Concern
Morelet's Crocodile,2.5,90.6,Adult,Male,15-09-2006,Guatemala,Lagoons,Least Concern
Morelet's Crocodile,2.52,104.1,Adult,Male,15-10-2012,Guatemala,Rivers,Least Concern
American Crocodile,3.04,155.0,Adult,Unknown,30-12-2024,Colombia,Estuaries,Vulnerable
Orinoco Crocodile,3.4,316.6,Subadult,Female,25-03-2012,Venezuela,Large Rivers,Critically Endangered
West African Slender-snouted Crocodile,2.43,96.9,Adult,Male,09-12-2015,Sierra Leone,Swamps,Critically Endangered
New Guinea Crocodile,2.51,87.4,Subadult,Female,28-06-2019,Indonesia,Swamps,Least Concern
American Crocodile,3.57,229.3,Adult,Female,18-07-2014,United States of America,Mangroves,Vulnerable
West African Slender-snouted Crocodile,2.96,149.9,Adult,Unknown,25-02-2009,Sierra Leone,Shaded Forest Rivers,Critically Endangered
Siamese Crocodile,0.96,31.8,Juvenile,Male,18-11-2020,Thailand,Swamps,Critically Endangered
Saltwater Crocodile,5.83,953.9,Adult,Unknown,19-05-2011,Papua New Guinea,Coastal Wetlands,Least Concern
New Guinea Crocodile,2.97,120.1,Subadult,Female,07-08-2018,Papua New Guinea,Rivers,Least Concern
West African Slender-snouted Crocodile,1.77,71.7,Juvenile,Female,25-10-2019,Guinea,Shaded Forest Rivers,Critically Endangered
Orinoco Crocodile,0.43,93.9,Hatchling,Female,07-08-2006,Venezuela,Flooded Savannas,Critically Endangered
Borneo Crocodile (disputed),2.05,70.8,Juvenile,Unknown,30-08-2025,Malaysia,Estuarine Systems,Data Deficient
West African Slender-snouted Crocodile,2.26,91.6,Subadult,Male,19-02-2010,Nigeria,Shaded Forest Rivers,Critically Endangered
Saltwater Crocodile,5.43,818.2,Adult,Male,18-07-2015,Indonesia,Coastal Wetlands,Least Concern
New Guinea Crocodile,3.04,133.9,Adult,Unknown,28-10-2005,Indonesia,Lakes,Least Concern
Siamese Crocodile,2.56,136.2,Adult,Unknown,13-05-2015,Vietnam,Slow Rivers,Critically Endangered
West African Dwarf Crocodile,1.18,12.5,Adult,Female,30-10-2014,Cameroon,Small Streams,Vulnerable
Nile Crocodile,3.78,383.2,Adult,Male,09-05-2015,Kenya,Lakes,Least Concern
Freshwater Crocodile (Johnstone's),1.93,46.7,Adult,Female,11-04-2009,Australia,Freshwater Rivers,Least Concern
Borneo Crocodile (disputed),2.56,106.5,Adult,Male,07-01-2015,Malaysia,Estuarine Systems,Data Deficient
Congo Dwarf Crocodile,1.25,19.3,Subadult,Female,29-08-2013,Dem. Rep. Congo,Slow Streams,Data Deficient
Cuban Crocodile,2.23,81.8,Adult,Female,06-05-2005,Cuba,Swamps,Critically Endangered
American Crocodile,3.66,262.6,Adult,Unknown,10-04-2024,Venezuela,Brackish Rivers,Vulnerable
Central African Slender-snouted Crocodile,1.85,67.3,Subadult,Male,14-12-2014,Cameroon,Swamps,Endangered
Saltwater Crocodile,4.9,629.7,Subadult,Male,09-10-2006,Philippines,Coastal Wetlands,Least Concern
West African Slender-snouted Crocodile,2.9,165.4,Adult,Female,29-06-2005,Nigeria,Swamps,Critically Endangered
Nile Crocodile,4.34,596.2,Subadult,Female,30-11-2009,Egypt,Lakes,Least Concern
Cuban Crocodile,2.63,107.9,Adult,Unknown,13-12-2007,Cuba,Swamps,Critically Endangered
Borneo Crocodile (disputed),2.54,103.3,Adult,Male,07-10-2010,Malaysia,Estuarine Systems,Data Deficient
Morelet's Crocodile,2.15,75.1,Adult,Female,21-12-2023,Guatemala,Rivers,Least Concern
West African Crocodile,2.13,86.4,Adult,Unknown,02-05-2013,Mali,Oases,Least Concern
Central African Slender-snouted Crocodile,1.69,63.7,Juvenile,Female,25-07-2019,Gabon,Forest Rivers,Endangered
Saltwater Crocodile,5.07,791.7,Adult,Female,05-03-2018,Malaysia,Mangroves,Least Concern
Morelet's Crocodile,1.1,41.1,Juvenile,Female,19-03-2017,Guatemala,Rivers,Least Concern
West African Crocodile,3.02,180.7,Adult,Male,25-08-2022,Niger,Rivers,Least Concern
Philippine Crocodile,1.6,47.0,Subadult,Male,22-03-2011,Philippines,Freshwater Marshes,Critically Endangered
Siamese Crocodile,1.25,36.3,Juvenile,Male,07-09-2015,Vietnam,Swamps,Critically Endangered
Morelet's Crocodile,2.31,90.9,Adult,Female,11-04-2015,Guatemala,Swamps,Least Concern
West African Dwarf Crocodile,1.23,13.1,Adult,Unknown,03-03-2021,Sierra Leone,Small Streams,Vulnerable
Mugger Crocodile (Marsh Crocodile),2.82,159.3,Subadult,Unknown,14-09-2025,Pakistan,Lakes,Vulnerable
American Crocodile,2.76,152.5,Adult,Unknown,07-08-2017,Costa Rica,Coastal Lagoons,Vulnerable
Hall's New Guinea Crocodile,2.45,75.8,Subadult,Unknown,09-10-2009,Papua New Guinea,Rivers,Least Concern
Morelet's Crocodile,2.51,102.4,Subadult,Unknown,06-10-2018,Guatemala,Lagoons,Least Concern
Nile Crocodile,3.32,309.5,Subadult,Unknown,28-12-2013,Kenya,Lakes,Least Concern
American Crocodile,3.88,273.6,Adult,Unknown,17-05-2018,Mexico,Coastal Lagoons,Vulnerable
Orinoco Crocodile,1.96,133.2,Juvenile,Male,10-05-2011,Colombia,Flooded Savannas,Critically Endangered
Mugger Crocodile (Marsh Crocodile),1.21,54.8,Juvenile,Male,27-02-2016,Pakistan,Rivers,Vulnerable
West African Crocodile,2.7,131.1,Subadult,Female,30-08-2025,Mali,Lakes,Least Concern
West African Crocodile,3.08,188.3,Adult,Female,23-12-2006,Chad,Rivers,Least Concern
Borneo Crocodile (disputed),2.4,91.7,Subadult,Male,25-11-2016,Indonesia,Estuarine Systems,Data Deficient
Cuban Crocodile,2.71,125.3,Adult,Male,03-05-2022,Cuba,Swamps,Critically Endangered
New Guinea Crocodile,2.21,64.9,Subadult,Unknown,31-08-2006,Indonesia,Swamps,Least Concern
Saltwater Crocodile,4.86,760.5,Adult,Unknown,16-08-2013,Papua New Guinea,Estuaries,Least Concern
Philippine Crocodile,2.27,76.7,Adult,Unknown,30-06-2019,Philippines,Freshwater Marshes,Critically Endangered
West African Slender-snouted Crocodile,2.58,109.7,Adult,Female,24-06-2006,Liberia,Shaded Forest Rivers,Critically Endangered
West African Crocodile,2.54,104.3,Subadult,Female,17-12-2011,Senegal,Oases,Least Concern
Cuban Crocodile,2.93,147.4,Adult,Unknown,06-10-2020,Cuba,Swamps,Critically Endangered
Hall's New Guinea Crocodile,2.26,74.5,Adult,Unknown,27-10-2024,Papua New Guinea,Rivers,Least Concern
West African Crocodile,2.28,104.8,Adult,Male,20-03-2014,Niger,Oases,Least Concern
West African Slender-snouted Crocodile,3.07,199.3,Adult,Male,02-04-2013,Nigeria,Swamps,Critically Endangered
Freshwater Crocodile (Johnstone's),2.57,82.1,Adult,Female,04-03-2006,Australia,Billabongs,Least Concern
Morelet's Crocodile,2.46,100.2,Subadult,Male,03-06-2025,Mexico,Rivers,Least Concern
Nile Crocodile,1.77,159.9,Juvenile,Unknown,31-07-2019,Tanzania,Lakes,Least Concern
Saltwater Crocodile,3.59,402.7,Subadult,Female,02-11-2009,India,Coastal Wetlands,Least Concern
Freshwater Crocodile (Johnstone's),1.59,37.4,Juvenile,Unknown,15-05-2005,Australia,Gorges,Least Concern
Freshwater Crocodile (Johnstone's),1.77,38.1,Juvenile,Unknown,16-03-2017,Australia,Billabongs,Least Concern
Saltwater Crocodile,4.68,692.4,Adult,Unknown,28-06-2021,Indonesia,Mangroves,Least Concern
Hall's New Guinea Crocodile,3.32,163.4,Adult,Unknown,02-02-2009,Papua New Guinea,Freshwater Wetlands,Least Concern
Saltwater Crocodile,5.1,827.2,Subadult,Female,17-02-2011,Australia,Tidal Rivers,Least Concern
West African Crocodile,2.9,158.4,Subadult,Male,23-04-2021,Chad,Rivers,Least Concern
Orinoco Crocodile,4.55,524.1,Adult,Female,27-09-2008,Colombia,Flooded Savannas,Critically Endangered
Saltwater Crocodile,5.22,809.0,Adult,Male,07-09-2006,Malaysia,Coastal Wetlands,Least Concern
West African Dwarf Crocodile,0.86,8.1,Juvenile,Female,21-09-2017,Guinea,Forest Swamps,Vulnerable
Hall's New Guinea Crocodile,2.69,100.3,Adult,Male,19-07-2007,Papua New Guinea,Freshwater Wetlands,Least Concern
West African Dwarf Crocodile,1.37,18.1,Adult,Female,26-07-2020,Côte d'Ivoire,Forest Swamps,Vulnerable
Cuban Crocodile,2.26,86.1,Adult,Male,19-12-2020,Cuba,Swamps,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.19,153.6,Adult,Female,26-06-2015,Iran,Rivers,Vulnerable
American Crocodile,3.04,190.0,Adult,Male,24-10-2007,Costa Rica,Coastal Lagoons,Vulnerable
West African Slender-snouted Crocodile,2.05,82.8,Juvenile,Male,25-08-2023,Guinea,Shaded Forest Rivers,Critically Endangered
Orinoco Crocodile,2.87,199.9,Subadult,Unknown,27-02-2011,Venezuela,Flooded Savannas,Critically Endangered
American Crocodile,3.32,213.1,Adult,Unknown,04-12-2005,Mexico,Coastal Lagoons,Vulnerable
Siamese Crocodile,2.88,154.9,Adult,Female,26-05-2019,Laos,Swamps,Critically Endangered
West African Crocodile,1.55,47.9,Juvenile,Unknown,29-02-2012,Senegal,Lakes,Least Concern
Cuban Crocodile,2.07,64.8,Subadult,Female,20-05-2024,Cuba,Freshwater Wetlands,Critically Endangered
New Guinea Crocodile,1.52,39.0,Juvenile,Female,07-02-2016,Indonesia,Swamps,Least Concern
Nile Crocodile,4.55,621.4,Adult,Male,17-02-2013,Nigeria,Marshes,Least Concern
West African Crocodile,2.07,75.5,Juvenile,Female,06-07-2017,Niger,Rivers,Least Concern
West African Dwarf Crocodile,1.57,27.1,Adult,Male,07-08-2018,Ghana,Forest Swamps,Vulnerable
New Guinea Crocodile,2.26,74.0,Adult,Unknown,27-12-2015,Indonesia,Swamps,Least Concern
Hall's New Guinea Crocodile,2.81,126.9,Adult,Unknown,07-08-2005,Papua New Guinea,Rivers,Least Concern
Saltwater Crocodile,3.05,344.0,Juvenile,Unknown,20-06-2007,India,Estuaries,Least Concern
New Guinea Crocodile,2.82,129.1,Subadult,Unknown,06-02-2008,Papua New Guinea,Rivers,Least Concern
Philippine Crocodile,1.94,65.9,Subadult,Unknown,19-02-2011,Philippines,Freshwater Marshes,Critically Endangered
West African Crocodile,2.52,107.0,Subadult,Male,23-10-2018,Senegal,Oases,Least Concern
Mugger Crocodile (Marsh Crocodile),3.11,179.1,Subadult,Male,12-02-2005,Iran,Rivers,Vulnerable
Borneo Crocodile (disputed),3.68,273.7,Adult,Female,31-08-2024,Indonesia,Rivers,Data Deficient
Morelet's Crocodile,2.42,78.6,Adult,Female,29-04-2009,Mexico,Rivers,Least Concern
West African Slender-snouted Crocodile,3.41,220.3,Adult,Male,08-12-2008,Ghana,Swamps,Critically Endangered
West African Dwarf Crocodile,1.47,21.3,Adult,Male,07-11-2010,Côte d'Ivoire,Forest Swamps,Vulnerable
Siamese Crocodile,2.45,121.0,Subadult,Unknown,08-04-2022,Laos,Oxbow Lakes,Critically Endangered
Freshwater Crocodile (Johnstone's),2.17,60.6,Adult,Female,27-12-2021,Australia,Freshwater Rivers,Least Concern
West African Dwarf Crocodile,1.53,20.3,Adult,Unknown,15-07-2009,Ghana,Forest Swamps,Vulnerable
New Guinea Crocodile,0.88,32.3,Juvenile,Unknown,18-04-2006,Indonesia,Rivers,Least Concern
Nile Crocodile,3.13,362.6,Subadult,Male,11-12-2025,South Africa,Rivers,Least Concern
Borneo Crocodile (disputed),3.27,177.7,Subadult,Female,05-06-2013,Indonesia,Rivers,Data Deficient
Morelet's Crocodile,0.16,28.2,Hatchling,Unknown,16-02-2021,Guatemala,Rivers,Least Concern
West African Crocodile,3.04,171.9,Adult,Male,26-05-2010,Mauritania,Rivers,Least Concern
Saltwater Crocodile,6.02,1032.7,Adult,Male,22-02-2008,Philippines,Tidal Rivers,Least Concern
New Guinea Crocodile,2.21,76.1,Subadult,Unknown,24-09-2024,Papua New Guinea,Rivers,Least Concern
Congo Dwarf Crocodile,0.6,6.9,Juvenile,Female,29-05-2010,Dem. Rep. Congo,Slow Streams,Data Deficient
West African Slender-snouted Crocodile,2.64,149.5,Adult,Male,05-01-2017,Nigeria,Shaded Forest Rivers,Critically Endangered
Siamese Crocodile,0.94,39.1,Juvenile,Female,22-05-2025,Cambodia,Slow Rivers,Critically Endangered
Morelet's Crocodile,2.22,74.6,Subadult,Unknown,22-01-2013,Belize,Rivers,Least Concern
West African Dwarf Crocodile,0.96,10.8,Subadult,Unknown,10-04-2008,Guinea,Small Streams,Vulnerable
Borneo Crocodile (disputed),3.1,146.8,Adult,Unknown,28-07-2012,Malaysia,Estuarine Systems,Data Deficient
West African Slender-snouted Crocodile,2.75,143.8,Adult,Unknown,25-05-2019,Guinea,Shaded Forest Rivers,Critically Endangered
Saltwater Crocodile,5.48,878.6,Adult,Unknown,22-06-2025,Papua New Guinea,Coastal Wetlands,Least Concern
Nile Crocodile,3.85,479.0,Subadult,Female,31-01-2023,Uganda,Rivers,Least Concern
West African Dwarf Crocodile,1.13,12.3,Subadult,Unknown,16-06-2010,Cameroon,Forest Swamps,Vulnerable
American Crocodile,0.36,70.2,Hatchling,Female,20-06-2019,Costa Rica,Coastal Lagoons,Vulnerable
Saltwater Crocodile,4.21,517.3,Adult,Unknown,05-10-2025,Indonesia,Estuaries,Least Concern
New Guinea Crocodile,2.31,88.7,Adult,Female,23-08-2008,Papua New Guinea,Rivers,Least Concern
Congo Dwarf Crocodile,1.49,26.9,Adult,Female,16-03-2006,Dem. Rep. Congo,Slow Streams,Data Deficient
American Crocodile,3.75,259.1,Subadult,Unknown,21-02-2018,United States of America,Brackish Rivers,Vulnerable
Freshwater Crocodile (Johnstone's),2.85,122.1,Adult,Unknown,27-09-2013,Australia,Billabongs,Least Concern
American Crocodile,1.69,90.7,Juvenile,Female,27-04-2007,Mexico,Coastal Lagoons,Vulnerable
Congo Dwarf Crocodile,1.04,13.6,Subadult,Male,30-10-2017,Dem. Rep. Congo,Slow Streams,Data Deficient
Cuban Crocodile,2.75,114.5,Subadult,Male,03-03-2021,Cuba,Freshwater Wetlands,Critically Endangered
Morelet's Crocodile,2.79,123.4,Subadult,Unknown,21-01-2008,Belize,Rivers,Least Concern
Central African Slender-snouted Crocodile,1.12,41.7,Juvenile,Female,10-03-2013,Cameroon,Forest Rivers,Endangered
Orinoco Crocodile,3.7,328.6,Adult,Female,05-02-2020,Colombia,Large Rivers,Critically Endangered
Mugger Crocodile (Marsh Crocodile),2.98,153.5,Adult,Unknown,28-12-2013,Iran,Marshes,Vulnerable
Saltwater Crocodile,5.32,868.3,Adult,Female,24-09-2008,Malaysia,Estuaries,Least Concern
New Guinea Crocodile,2.1,70.3,Adult,Female,23-05-2013,Indonesia,Swamps,Least Concern
Cuban Crocodile,2.01,64.3,Juvenile,Female,11-09-2012,Cuba,Freshwater Wetlands,Critically Endangered
Central African Slender-snouted Crocodile,0.5,26.4,Hatchling,Female,15-07-2019,Cameroon,Forest Rivers,Endangered
West African Dwarf Crocodile,1.03,11.3,Subadult,Female,15-11-2013,Guinea,Forest Swamps,Vulnerable
Borneo Crocodile (disputed),0.87,36.9,Juvenile,Male,16-03-2013,Malaysia,Rivers,Data Deficient
Morelet's Crocodile,2.18,75.2,Adult,Unknown,25-07-2007,Belize,Rivers,Least Concern
Orinoco Crocodile,1.13,101.7,Juvenile,Male,17-05-2013,Venezuela,Flooded Savannas,Critically Endangered
Cuban Crocodile,2.74,133.6,Adult,Male,12-06-2017,Cuba,Swamps,Critically Endangered
Cuban Crocodile,2.13,75.2,Subadult,Unknown,03-05-2016,Cuba,Swamps,Critically Endangered
Borneo Crocodile (disputed),0.76,29.5,Juvenile,Female,09-10-2008,Malaysia,Estuarine Systems,Data Deficient
West African Dwarf Crocodile,1.0,10.0,Adult,Male,17-01-2022,Cameroon,Small Streams,Vulnerable
Philippine Crocodile,2.15,70.3,Subadult,Male,25-05-2022,Philippines,Freshwater Marshes,Critically Endangered
Borneo Crocodile (disputed),2.54,103.5,Subadult,Female,16-10-2020,Malaysia,Estuarine Systems,Data Deficient
West African Dwarf Crocodile,0.99,11.7,Adult,Male,25-09-2020,Sierra Leone,Forest Swamps,Vulnerable
New Guinea Crocodile,2.36,83.0,Subadult,Unknown,28-10-2022,Papua New Guinea,Swamps,Least Concern
Siamese Crocodile,2.89,160.1,Adult,Unknown,03-02-2007,Vietnam,Oxbow Lakes,Critically Endangered
American Crocodile,3.88,266.2,Adult,Male,12-09-2017,Colombia,Mangroves,Vulnerable
Saltwater Crocodile,3.58,522.8,Subadult,Male,11-06-2020,India,Tidal Rivers,Least Concern
Siamese Crocodile,1.55,54.2,Juvenile,Male,18-08-2014,Cambodia,Oxbow Lakes,Critically Endangered
Nile Crocodile,0.56,133.9,Hatchling,Female,26-07-2020,Uganda,Reservoirs,Least Concern
Mugger Crocodile (Marsh Crocodile),2.25,104.2,Juvenile,Male,23-05-2019,Sri Lanka,Lakes,Vulnerable
Nile Crocodile,4.62,712.0,Adult,Unknown,26-05-2020,South Africa,Lakes,Least Concern
Morelet's Crocodile,1.83,54.7,Adult,Male,19-03-2011,Guatemala,Swamps,Least Concern
Congo Dwarf Crocodile,1.51,22.3,Adult,Female,11-08-2009,Dem. Rep. Congo,Slow Streams,Data Deficient
Saltwater Crocodile,5.91,906.6,Adult,Male,06-11-2016,Australia,Tidal Rivers,Least Concern
Cuban Crocodile,2.96,120.7,Subadult,Unknown,08-07-2006,Cuba,Swamps,Critically Endangered
Saltwater Crocodile,6.02,1085.6,Adult,Female,28-09-2020,Papua New Guinea,Estuaries,Least Concern
Congo Dwarf Crocodile,1.51,23.7,Adult,Unknown,30-04-2012,Central African Rep.,Forest Swamps,Data Deficient
Borneo Crocodile (disputed),3.09,169.1,Subadult,Male,14-04-2005,Indonesia,Rivers,Data Deficient
Central African Slender-snouted Crocodile,2.61,134.2,Subadult,Male,07-07-2012,Gabon,Swamps,Endangered
American Crocodile,2.44,113.3,Juvenile,Male,21-09-2010,Mexico,Coastal Lagoons,Vulnerable
West African Dwarf Crocodile,0.93,8.4,Adult,Male,27-05-2017,Cameroon,Small Streams,Vulnerable
New Guinea Crocodile,1.64,42.3,Juvenile,Male,16-01-2023,Papua New Guinea,Swamps,Least Concern
West African Slender-snouted Crocodile,2.23,105.1,Subadult,Unknown,20-12-2018,Sierra Leone,Swamps,Critically Endangered
Philippine Crocodile,2.03,73.2,Adult,Male,26-12-2005,Philippines,Ponds,Critically Endangered
Hall's New Guinea Crocodile,2.76,94.8,Subadult,Unknown,07-12-2007,Papua New Guinea,Rivers,Least Concern
New Guinea Crocodile,1.2,40.7,Juvenile,Female,01-12-2011,Indonesia,Swamps,Least Concern
American Crocodile,2.77,130.0,Adult,Female,30-04-2008,Mexico,Estuaries,Vulnerable
West African Crocodile,2.4,111.4,Subadult,Male,15-02-2007,Chad,Rivers,Least Concern
Morelet's Crocodile,2.78,100.4,Subadult,Male,08-06-2009,Guatemala,Rivers,Least Concern
American Crocodile,1.92,107.4,Juvenile,Female,17-02-2016,Mexico,Brackish Rivers,Vulnerable
Orinoco Crocodile,3.88,346.7,Adult,Unknown,07-07-2010,Colombia,Flooded Savannas,Critically Endangered
Congo Dwarf Crocodile,1.4,22.8,Adult,Male,24-02-2019,Dem. Rep. Congo,Slow Streams,Data Deficient
Central African Slender-snouted Crocodile,1.79,66.7,Juvenile,Male,20-02-2023,Gabon,Swamps,Endangered
Orinoco Crocodile,2.99,215.3,Juvenile,Female,16-12-2012,Venezuela,Large Rivers,Critically Endangered
New Guinea Crocodile,2.87,128.0,Adult,Male,08-10-2023,Indonesia,Rivers,Least Concern
Orinoco Crocodile,0.82,93.9,Hatchling,Male,23-08-2012,Venezuela,Flooded Savannas,Critically Endangered
Nile Crocodile,3.14,336.8,Subadult,Unknown,15-11-2013,Nigeria,Rivers,Least Concern
Freshwater Crocodile (Johnstone's),1.94,54.2,Subadult,Unknown,22-07-2020,Australia,Freshwater Rivers,Least Concern
West African Crocodile,2.98,190.6,Adult,Female,31-01-2024,Sudan,Rivers,Least Concern
New Guinea Crocodile,1.74,48.3,Juvenile,Female,07-10-2008,Papua New Guinea,Rivers,Least Concern
West African Slender-snouted Crocodile,2.07,93.2,Adult,Male,28-08-2013,Côte d'Ivoire,Swamps,Critically Endangered
Borneo Crocodile (disputed),2.94,139.7,Adult,Unknown,03-01-2022,Indonesia,Rivers,Data Deficient
American Crocodile,1.01,84.2,Juvenile,Male,31-07-2012,Venezuela,Brackish Rivers,Vulnerable
Borneo Crocodile (disputed),2.79,133.3,Adult,Female,26-10-2019,Malaysia,Estuarine Systems,Data Deficient
Morelet's Crocodile,1.9,55.3,Adult,Unknown,10-10-2015,Mexico,Swamps,Least Concern
Philippine Crocodile,1.88,57.7,Subadult,Male,26-05-2019,Philippines,Freshwater Marshes,Critically Endangered
West African Crocodile,1.99,78.3,Subadult,Unknown,04-03-2007,Mali,Oases,Least Concern
Congo Dwarf Crocodile,1.46,23.3,Adult,Unknown,30-05-2020,Central African Rep.,Forest Swamps,Data Deficient
Freshwater Crocodile (Johnstone's),1.69,45.7,Adult,Unknown,30-11-2018,Australia,Freshwater Rivers,Least Concern
Orinoco Crocodile,2.14,143.0,Juvenile,Unknown,03-07-2025,Venezuela,Large Rivers,Critically Endangered
Congo Dwarf Crocodile,1.42,25.1,Adult,Unknown,07-03-2018,Central African Rep.,Forest Swamps,Data Deficient
Cuban Crocodile,2.07,84.4,Adult,Male,16-08-2022,Cuba,Swamps,Critically Endangered
Siamese Crocodile,1.52,52.5,Juvenile,Male,17-11-2013,Laos,Oxbow Lakes,Critically Endangered
Saltwater Crocodile,3.55,405.8,Juvenile,Unknown,09-12-2014,Indonesia,Tidal Rivers,Least Concern
American Crocodile,2.8,165.3,Adult,Male,23-07-2016,Cuba,Coastal Lagoons,Vulnerable
West African Dwarf Crocodile,1.24,13.5,Adult,Male,10-10-2023,Guinea,Forest Swamps,Vulnerable
West African Slender-snouted Crocodile,2.89,169.2,Subadult,Male,10-05-2013,Côte d'Ivoire,Swamps,Critically Endangered
Central African Slender-snouted Crocodile,2.86,164.1,Adult,Female,13-08-2005,Gabon,Forest Rivers,Endangered
Philippine Crocodile,0.38,22.0,Hatchling,Male,20-08-2015,Philippines,Ponds,Critically Endangered
Nile Crocodile,3.56,437.1,Adult,Female,27-08-2010,Uganda,Reservoirs,Least Concern
West African Dwarf Crocodile,1.03,10.4,Adult,Unknown,05-05-2011,Liberia,Forest Swamps,Vulnerable
American Crocodile,3.51,241.3,Adult,Unknown,14-09-2011,Cuba,Estuaries,Vulnerable
Mugger Crocodile (Marsh Crocodile),3.53,233.8,Adult,Unknown,28-07-2005,Pakistan,Reservoirs,Vulnerable
Borneo Crocodile (disputed),3.06,162.8,Subadult,Unknown,09-08-2022,Malaysia,Estuarine Systems,Data Deficient
